iter	Accuracy	Logloss
0	0.8038922156	0.6860347407
1	0.8038922156	0.6801333424
2	0.8038922156	0.6738237627
3	0.8278443114	0.6680734917
4	0.8128742515	0.6639720803
5	0.8143712575	0.6601177153
6	0.8128742515	0.6540370378
7	0.8128742515	0.6508152483
8	0.8128742515	0.6449646979
9	0.8128742515	0.6414500561
10	0.8128742515	0.6366078926
11	0.8128742515	0.6318619965
12	0.8158682635	0.627037481
13	0.8188622754	0.6217801157
14	0.8218562874	0.6167545388
15	0.8218562874	0.6118170313
16	0.8218562874	0.6067768022
17	0.8218562874	0.6023788702
18	0.8218562874	0.5978166384
19	0.8218562874	0.5954321161
20	0.8218562874	0.5907443724
21	0.8218562874	0.5867320789
22	0.8218562874	0.5819808752
23	0.8218562874	0.5795688628
24	0.8218562874	0.5774376514
25	0.8218562874	0.5753733136
26	0.8218562874	0.5725925811
27	0.8218562874	0.5696963266
28	0.8218562874	0.5660423515
29	0.8218562874	0.5622502417
30	0.8218562874	0.5598235373
31	0.8218562874	0.5566263068
32	0.8218562874	0.5544493292
33	0.8233532934	0.5523362345
34	0.8233532934	0.5499541822
35	0.8233532934	0.546598308
36	0.8233532934	0.5431149267
37	0.8233532934	0.5405638809
38	0.8233532934	0.538431699
39	0.8233532934	0.5363407462
40	0.8203592814	0.5343182125
41	0.8203592814	0.5319719369
42	0.8203592814	0.5291117797
43	0.8203592814	0.5273742991
44	0.8203592814	0.5258913615
45	0.8203592814	0.5232840913
46	0.8203592814	0.5213783708
47	0.8203592814	0.5190044687
48	0.8203592814	0.5163470717
49	0.8218562874	0.5140926062
50	0.8203592814	0.5128017932
51	0.8203592814	0.5114032456
52	0.8203592814	0.509592652
53	0.8203592814	0.50782597
54	0.8203592814	0.5061020973
55	0.8203592814	0.5046146167
56	0.8203592814	0.5023064068
57	0.8203592814	0.5005055383
58	0.8203592814	0.4992580471
59	0.8203592814	0.4976458978
60	0.8203592814	0.4955209534
61	0.8203592814	0.4938691302
62	0.8203592814	0.4920018379
63	0.8203592814	0.4908114472
64	0.8203592814	0.488973243
65	0.8203592814	0.4872016766
66	0.8203592814	0.4855784509
67	0.8203592814	0.4836042776
68	0.8218562874	0.4824379284
69	0.8218562874	0.4806761069
70	0.8233532934	0.4795163706
71	0.8218562874	0.4780169859
72	0.8233532934	0.4768232754
73	0.8218562874	0.4752695845
74	0.8218562874	0.4740528899
75	0.8218562874	0.4725028157
76	0.8218562874	0.470916639
77	0.8218562874	0.4692620414
78	0.8218562874	0.4680894259
79	0.8218562874	0.4670064064
80	0.8218562874	0.46571507
81	0.8218562874	0.4642173233
82	0.8218562874	0.462851433
83	0.8218562874	0.4616254771
84	0.8218562874	0.4604878746
85	0.8218562874	0.4596109485
86	0.8218562874	0.4589621551
87	0.8218562874	0.4577167159
88	0.8218562874	0.4565955274
89	0.8218562874	0.4550867443
90	0.8218562874	0.4538365082
91	0.8218562874	0.4525897184
92	0.8218562874	0.4513421393
93	0.8218562874	0.4503636205
94	0.8218562874	0.4498238978
95	0.8218562874	0.4487954008
96	0.8218562874	0.4476944981
97	0.8218562874	0.4468364523
98	0.8218562874	0.4460570892
99	0.8218562874	0.4451047942
100	0.8218562874	0.444195813
101	0.8218562874	0.4432498436
102	0.8218562874	0.442091156
103	0.8218562874	0.4412219468
104	0.8218562874	0.4409289394
105	0.8218562874	0.4403811642
106	0.8218562874	0.4392247372
107	0.8218562874	0.4382808248
108	0.8218562874	0.4373482311
109	0.8218562874	0.4367332988
110	0.8218562874	0.4363266254
111	0.8218562874	0.4360704309
112	0.8218562874	0.4355079372
113	0.8218562874	0.4350214507
114	0.8218562874	0.4345335035
115	0.8218562874	0.4339178277
116	0.8218562874	0.4334528548
117	0.8218562874	0.4329326149
118	0.8218562874	0.4324468266
119	0.8218562874	0.4317973808
120	0.8218562874	0.4312597141
121	0.8218562874	0.4307295412
122	0.8233532934	0.430373572
123	0.8218562874	0.430158034
124	0.8218562874	0.4298891678
125	0.8218562874	0.4293670168
126	0.8248502994	0.428784998
127	0.8248502994	0.428195585
128	0.8233532934	0.4277880446
129	0.8233532934	0.4274724278
130	0.8233532934	0.4271361519
131	0.8233532934	0.4268382149
132	0.8233532934	0.4264565551
133	0.8233532934	0.4260493549
134	0.8233532934	0.4257768689
135	0.8233532934	0.4254416331
136	0.8233532934	0.4250992438
137	0.8233532934	0.4245457366
138	0.8233532934	0.4239615855
139	0.8233532934	0.4237168387
140	0.8263473054	0.4229740519
141	0.8263473054	0.4227451149
142	0.8263473054	0.4222725269
143	0.8263473054	0.422015524
144	0.8263473054	0.4217543934
145	0.8263473054	0.4214798194
146	0.8263473054	0.4211853947
147	0.8263473054	0.4204039202
148	0.8248502994	0.4201343907
149	0.8248502994	0.4197999534
150	0.8248502994	0.419486122
151	0.8248502994	0.4191144095
152	0.8248502994	0.4187913928
153	0.8233532934	0.4180893172
154	0.8248502994	0.4178866581
155	0.8248502994	0.4176914521
156	0.8248502994	0.4173676525
157	0.8248502994	0.4171941961
158	0.8248502994	0.4168946101
159	0.8248502994	0.416544524
160	0.8248502994	0.4163585334
161	0.8248502994	0.4157791457
162	0.8248502994	0.4154543716
163	0.8248502994	0.4152080703
164	0.8248502994	0.414859496
165	0.8263473054	0.4145377406
166	0.8263473054	0.4143489604
167	0.8263473054	0.4141311311
168	0.8263473054	0.4139698276
169	0.8263473054	0.4136737532
170	0.8278443114	0.4135742106
171	0.8278443114	0.4133891924
172	0.8278443114	0.4131722367
173	0.8278443114	0.4130101512
174	0.8278443114	0.4127034596
175	0.8293413174	0.4125274392
176	0.8293413174	0.4119344098
177	0.8293413174	0.4117851013
178	0.8293413174	0.4116086427
179	0.8293413174	0.4114103015
180	0.8293413174	0.4111829177
181	0.8293413174	0.4110589518
182	0.8293413174	0.4109991634
183	0.8293413174	0.4109790593
184	0.8293413174	0.4107210232
185	0.8293413174	0.4104526542
186	0.8293413174	0.409939492
187	0.8293413174	0.4099210487
188	0.8293413174	0.4095178355
189	0.8293413174	0.4094183331
190	0.8293413174	0.4092759232
191	0.8293413174	0.4091192153
192	0.8293413174	0.4089412923
193	0.8293413174	0.4088325275
194	0.8293413174	0.408703739
195	0.8293413174	0.4085144745
196	0.8293413174	0.4084260668
197	0.8293413174	0.4083005482
198	0.8293413174	0.4081480146
199	0.8293413174	0.408060227
200	0.8293413174	0.4079661547
201	0.8293413174	0.4078638612
202	0.8293413174	0.4077860788
203	0.8293413174	0.4076170319
204	0.8293413174	0.4075808952
205	0.8293413174	0.4073205649
206	0.8293413174	0.4070915098
207	0.8293413174	0.4070029974
208	0.8293413174	0.4068545282
209	0.8293413174	0.4067520091
210	0.8293413174	0.4067001905
211	0.8293413174	0.4065398556
212	0.8293413174	0.4064050945
213	0.8293413174	0.4063671992
214	0.8293413174	0.4061777638
215	0.8293413174	0.406119822
216	0.8293413174	0.4060691766
217	0.8293413174	0.405895861
218	0.8293413174	0.4057943575
219	0.8293413174	0.4057631629
220	0.8293413174	0.4056486872
221	0.8293413174	0.4055388456
222	0.8308383234	0.4052955205
223	0.8293413174	0.405134806
224	0.8293413174	0.4050136063
225	0.8293413174	0.404960139
226	0.8293413174	0.4046425881
227	0.8293413174	0.40452845
228	0.8293413174	0.4042826663
229	0.8293413174	0.4041854259
230	0.8308383234	0.4040041668
231	0.8308383234	0.4038908974
232	0.8308383234	0.4036544247
233	0.8308383234	0.4034982377
234	0.8308383234	0.4033801035
235	0.8308383234	0.4033529739
236	0.8308383234	0.4031326912
237	0.8308383234	0.4030399211
238	0.8308383234	0.4029952386
239	0.8308383234	0.4028993481
240	0.8308383234	0.4028112371
241	0.8308383234	0.4026658762
242	0.8308383234	0.4025256085
243	0.8308383234	0.4023751173
244	0.8293413174	0.40226309
245	0.8293413174	0.4021881904
246	0.8293413174	0.4021018655
247	0.8293413174	0.4020516912
248	0.8293413174	0.4018982644
249	0.8293413174	0.4018034774
250	0.8308383234	0.4016370982
251	0.8308383234	0.4016276752
252	0.8308383234	0.4015320491
253	0.8308383234	0.4014141281
254	0.8323353293	0.401215576
255	0.8308383234	0.4011423826
256	0.8338323353	0.401039336
257	0.8338323353	0.4010347768
258	0.8338323353	0.4008777759
259	0.8323353293	0.4007194862
260	0.8338323353	0.4006052212
261	0.8338323353	0.400511405
262	0.8338323353	0.4004003238
263	0.8338323353	0.4002229823
264	0.8338323353	0.4000936871
265	0.8338323353	0.3998521014
266	0.8338323353	0.3996790711
267	0.8338323353	0.399526403
268	0.8338323353	0.399439236
269	0.8338323353	0.3993718134
270	0.8338323353	0.399324694
271	0.8338323353	0.3992183473
272	0.8338323353	0.3991553285
273	0.8338323353	0.3991108265
274	0.8338323353	0.3989653705
275	0.8338323353	0.3988379454
276	0.8338323353	0.3987767787
277	0.8338323353	0.3987249832
278	0.8353293413	0.3985263966
279	0.8353293413	0.3983944787
280	0.8353293413	0.3981926638
281	0.8353293413	0.3981127275
282	0.8353293413	0.3980328515
283	0.8353293413	0.3980202962
284	0.8353293413	0.3978038039
285	0.8353293413	0.397710443
286	0.8353293413	0.3976877616
287	0.8368263473	0.397685245
288	0.8368263473	0.3975613639
289	0.8368263473	0.3974792085
290	0.8353293413	0.3973856169
291	0.8368263473	0.3972409158
292	0.8368263473	0.3971991486
293	0.8368263473	0.3969801296
294	0.8368263473	0.3969232396
295	0.8368263473	0.3968994022
296	0.8368263473	0.3968723527
297	0.8368263473	0.3968702469
298	0.8368263473	0.3966614756
299	0.8368263473	0.3965737297
300	0.8368263473	0.39645735
301	0.8368263473	0.3963629874
302	0.8368263473	0.3963027539
303	0.8368263473	0.3962117109
304	0.8383233533	0.3961469257
305	0.8383233533	0.3958689991
306	0.8383233533	0.3957941644
307	0.8383233533	0.3957007462
308	0.8368263473	0.3956459969
309	0.8353293413	0.3955527296
310	0.8368263473	0.3954645778
311	0.8383233533	0.3953456958
312	0.8383233533	0.395325886
313	0.8383233533	0.3952593457
314	0.8383233533	0.3951997273
315	0.8383233533	0.3951828525
316	0.8383233533	0.3950957625
317	0.8383233533	0.3950442294
318	0.8383233533	0.3949417958
319	0.8368263473	0.3947354222
320	0.8368263473	0.3946771461
321	0.8383233533	0.3946355815
322	0.8383233533	0.3945011205
323	0.8383233533	0.3944357091
324	0.8383233533	0.3943198654
325	0.8383233533	0.3942431964
326	0.8383233533	0.3941659459
327	0.8383233533	0.3941183048
328	0.8383233533	0.3940537189
329	0.8398203593	0.3939568582
330	0.8398203593	0.3939074437
331	0.8398203593	0.3938693013
332	0.8398203593	0.3938683201
333	0.8398203593	0.393828245
334	0.8398203593	0.3937927157
335	0.8413173653	0.3936855187
336	0.8413173653	0.3935156502
337	0.8398203593	0.3934645035
338	0.8413173653	0.3932684721
339	0.8413173653	0.3932539191
340	0.8398203593	0.3929623377
341	0.8398203593	0.392870563
342	0.8398203593	0.3928362155
343	0.8398203593	0.3927462929
344	0.8398203593	0.3927100493
345	0.8398203593	0.392663355
346	0.8398203593	0.3926113841
347	0.8398203593	0.3924841096
348	0.8398203593	0.3923991673
349	0.8398203593	0.3923259631
350	0.8383233533	0.3922856333
351	0.8398203593	0.3922306561
352	0.8383233533	0.3920998836
353	0.8398203593	0.3920037015
354	0.8398203593	0.3919621707
355	0.8398203593	0.3918320563
356	0.8398203593	0.3918135402
357	0.8398203593	0.3917306338
358	0.8398203593	0.3914710295
359	0.8413173653	0.3914175238
360	0.8413173653	0.3913284418
361	0.8413173653	0.3912800074
362	0.8413173653	0.3912334001
363	0.8413173653	0.3911951768
364	0.8413173653	0.3911795752
365	0.8413173653	0.3910174418
366	0.8413173653	0.3909383785
367	0.8413173653	0.3908874277
368	0.8413173653	0.3908389635
369	0.8413173653	0.3907765812
370	0.8413173653	0.3906499692
371	0.8413173653	0.3905261968
372	0.8413173653	0.3904621683
373	0.8413173653	0.3903933292
374	0.8413173653	0.3903155015
375	0.8413173653	0.3901566932
376	0.8413173653	0.3901195498
377	0.8413173653	0.3900633112
378	0.8413173653	0.390014597
379	0.8413173653	0.3898553735
380	0.8413173653	0.3898415167
381	0.8413173653	0.3898136167
382	0.8413173653	0.3897077875
383	0.8413173653	0.389601326
384	0.8413173653	0.3895599374
385	0.8413173653	0.3895158623
386	0.8413173653	0.3894793334
387	0.8413173653	0.3894278452
388	0.8413173653	0.3893622993
389	0.8413173653	0.3893553257
390	0.8413173653	0.3893550434
391	0.8413173653	0.3893547667
392	0.8413173653	0.3893380261
393	0.8413173653	0.3893251267
394	0.8413173653	0.3892795701
395	0.8413173653	0.3891754324
396	0.8413173653	0.3890597105
397	0.8413173653	0.3887672297
398	0.8428143713	0.3886686336
399	0.8428143713	0.3884863994
400	0.8428143713	0.3883843016
401	0.8428143713	0.3883381123
402	0.8428143713	0.3881869422
403	0.8428143713	0.3881208273
404	0.8428143713	0.3881083563
405	0.8428143713	0.3881011823
406	0.8428143713	0.3880307225
407	0.8428143713	0.3879859448
408	0.8428143713	0.3879473527
409	0.8428143713	0.3879228941
410	0.8428143713	0.3878521309
411	0.8413173653	0.387803328
412	0.8428143713	0.3877060558
413	0.8428143713	0.3876875059
414	0.8413173653	0.3876281315
415	0.8413173653	0.3875119747
416	0.8413173653	0.3874310226
417	0.8413173653	0.3873460449
418	0.8413173653	0.3873156145
419	0.8413173653	0.3872700835
420	0.8413173653	0.3871682254
421	0.8428143713	0.3870813304
422	0.8428143713	0.3870275988
423	0.8428143713	0.386996632
424	0.8413173653	0.3869415926
425	0.8428143713	0.3869248675
426	0.8428143713	0.3868289125
427	0.8428143713	0.3867959207
428	0.8428143713	0.3867790984
429	0.8428143713	0.3867653879
430	0.8413173653	0.3867188014
431	0.8413173653	0.3867002956
432	0.8413173653	0.386661863
433	0.8413173653	0.3865755946
434	0.8413173653	0.3865438664
435	0.8413173653	0.3865064232
436	0.8413173653	0.3864774025
437	0.8443113772	0.3863399833
438	0.8443113772	0.3862117263
439	0.8443113772	0.3861810483
440	0.8443113772	0.3861500613
441	0.8443113772	0.3861332049
442	0.8443113772	0.3861082741
443	0.8443113772	0.3860565439
444	0.8443113772	0.3859961359
445	0.8443113772	0.3859840799
446	0.8428143713	0.3858973201
447	0.8428143713	0.3858753309
448	0.8428143713	0.3858507078
449	0.8428143713	0.3858303049
450	0.8428143713	0.3857935532
451	0.8428143713	0.3857424472
452	0.8428143713	0.3857215503
453	0.8428143713	0.3856774827
454	0.8428143713	0.3856585939
455	0.8428143713	0.3856423756
456	0.8428143713	0.3855851484
457	0.8428143713	0.3855395308
458	0.8443113772	0.3855172491
459	0.8443113772	0.3854521411
460	0.8443113772	0.3853936764
461	0.8443113772	0.3853411025
462	0.8443113772	0.3853288499
463	0.8428143713	0.3852556778
464	0.8428143713	0.3851700536
465	0.8428143713	0.3851289327
466	0.8413173653	0.3850491605
467	0.8413173653	0.3850410733
468	0.8413173653	0.3850352584
469	0.8413173653	0.384994714
470	0.8413173653	0.3849404071
471	0.8413173653	0.3848199452
472	0.8413173653	0.3847720429
473	0.8398203593	0.3847300901
474	0.8413173653	0.3846996732
475	0.8398203593	0.3846320649
476	0.8398203593	0.3845629494
477	0.8398203593	0.3845425141
478	0.8413173653	0.3843825842
479	0.8413173653	0.3843121315
480	0.8413173653	0.3842513565
481	0.8413173653	0.3841823894
482	0.8413173653	0.3841349757
483	0.8398203593	0.3840443778
484	0.8398203593	0.3839371332
485	0.8398203593	0.3838662212
486	0.8398203593	0.3838254349
487	0.8398203593	0.3837955128
488	0.8413173653	0.3837790071
489	0.8413173653	0.3837151612
490	0.8413173653	0.3836626628
491	0.8413173653	0.3835934937
492	0.8413173653	0.3835398253
493	0.8413173653	0.3835144447
494	0.8413173653	0.3833379738
495	0.8413173653	0.3833275823
496	0.8413173653	0.383225088
497	0.8413173653	0.3831039008
498	0.8413173653	0.3830706232
499	0.8413173653	0.3830517442
500	0.8413173653	0.3829893168
501	0.8413173653	0.382919207
502	0.8413173653	0.3828083438
503	0.8413173653	0.3827728823
504	0.8428143713	0.3827672662
505	0.8428143713	0.3827102781
506	0.8443113772	0.3826226594
507	0.8443113772	0.3825304668
508	0.8458083832	0.3824972489
509	0.8458083832	0.3823680301
510	0.8458083832	0.3823495552
511	0.8443113772	0.3822098628
512	0.8443113772	0.3822012036
513	0.8443113772	0.3822012019
514	0.8443113772	0.3822011859
515	0.8443113772	0.3821951995
516	0.8443113772	0.3821399773
517	0.8443113772	0.382119826
518	0.8458083832	0.3820511387
519	0.8458083832	0.3819826863
520	0.8443113772	0.3819349449
521	0.8443113772	0.3819349246
522	0.8443113772	0.3818730883
523	0.8443113772	0.3818569896
524	0.8443113772	0.3818359875
525	0.8443113772	0.3818309619
526	0.8443113772	0.3817498712
527	0.8443113772	0.3817227671
528	0.8443113772	0.3817078554
529	0.8443113772	0.3815570967
530	0.8428143713	0.3814928148
531	0.8428143713	0.3814885704
532	0.8428143713	0.3814717383
533	0.8428143713	0.381396531
534	0.8443113772	0.3813065839
535	0.8443113772	0.3812993224
536	0.8428143713	0.3812534527
537	0.8428143713	0.3811229675
538	0.8443113772	0.3809066082
539	0.8428143713	0.3808567564
540	0.8428143713	0.3808274087
541	0.8428143713	0.3808273944
542	0.8428143713	0.3807965811
543	0.8413173653	0.3807094403
544	0.8413173653	0.3806994846
545	0.8413173653	0.3806313512
546	0.8413173653	0.3805938085
547	0.8428143713	0.3805553526
548	0.8428143713	0.3805263663
549	0.8428143713	0.3804644916
550	0.8428143713	0.3803928012
551	0.8443113772	0.3803111673
552	0.8443113772	0.3803111651
553	0.8428143713	0.3802529028
554	0.8428143713	0.3801906853
555	0.8428143713	0.3801881231
556	0.8443113772	0.3801323698
557	0.8458083832	0.3800127961
558	0.8473053892	0.3799792041
559	0.8458083832	0.3799159803
560	0.8458083832	0.3798807868
561	0.8458083832	0.3798399526
562	0.8458083832	0.3798096674
563	0.8458083832	0.3797793908
564	0.8458083832	0.379707124
565	0.8458083832	0.379640349
566	0.8458083832	0.3795333523
567	0.8458083832	0.3794942628
568	0.8443113772	0.3794840963
569	0.8458083832	0.3794380745
570	0.8458083832	0.3794229342
571	0.8443113772	0.3793872222
572	0.8443113772	0.3793016627
573	0.8458083832	0.3792316623
574	0.8428143713	0.3791849992
575	0.8428143713	0.3791593921
576	0.8428143713	0.3791593885
577	0.8443113772	0.3791340972
578	0.8443113772	0.3790696384
579	0.8443113772	0.3790496329
580	0.8443113772	0.3790041789
581	0.8443113772	0.3789243859
582	0.8443113772	0.3788619211
583	0.8443113772	0.378853891
584	0.8428143713	0.3787590042
585	0.8428143713	0.3786883916
586	0.8428143713	0.3786775536
587	0.8443113772	0.3786161321
588	0.8443113772	0.3786001065
589	0.8443113772	0.3785897263
590	0.8428143713	0.3785318988
591	0.8428143713	0.3785057958
592	0.8428143713	0.3784656388
593	0.8428143713	0.3784162285
594	0.8428143713	0.3783850497
595	0.8428143713	0.3783619114
596	0.8428143713	0.3783008922
597	0.8428143713	0.3781366478
598	0.8428143713	0.3780002051
599	0.8428143713	0.3779543836
600	0.8428143713	0.3778431215
601	0.8428143713	0.3778290685
602	0.8428143713	0.377816164
603	0.8428143713	0.3777035026
604	0.8428143713	0.3776446945
605	0.8413173653	0.3775902423
606	0.8413173653	0.3775602624
607	0.8413173653	0.377540565
608	0.8428143713	0.3775290194
609	0.8428143713	0.377341064
610	0.8428143713	0.3773132599
611	0.8428143713	0.3772708241
612	0.8428143713	0.377157411
613	0.8428143713	0.3771360468
614	0.8428143713	0.3770296578
615	0.8428143713	0.3769272957
616	0.8428143713	0.3768997493
617	0.8428143713	0.376803318
618	0.8428143713	0.3767987756
619	0.8428143713	0.3766723839
620	0.8428143713	0.3766498561
621	0.8443113772	0.3765369476
622	0.8443113772	0.3764911539
623	0.8443113772	0.3764523884
624	0.8428143713	0.376351694
625	0.8443113772	0.3762807859
626	0.8443113772	0.3760904941
627	0.8458083832	0.3760205042
628	0.8458083832	0.3760042438
629	0.8458083832	0.3758699579
630	0.8458083832	0.3758229777
631	0.8458083832	0.3757703715
632	0.8458083832	0.3757607576
633	0.8458083832	0.3757198226
634	0.8458083832	0.3757019363
635	0.8458083832	0.3756621888
636	0.8458083832	0.3755044798
637	0.8458083832	0.375287103
638	0.8458083832	0.3752833681
639	0.8458083832	0.3752690022
640	0.8458083832	0.3752612099
641	0.8458083832	0.3752612051
642	0.8458083832	0.3752291096
643	0.8458083832	0.3752096113
644	0.8458083832	0.3751692357
645	0.8458083832	0.3751557309
646	0.8458083832	0.3751557288
647	0.8458083832	0.3751377579
648	0.8458083832	0.375124528
649	0.8458083832	0.3751093371
650	0.8458083832	0.3750747056
651	0.8473053892	0.3749409162
652	0.8473053892	0.3749139732
653	0.8473053892	0.3749102422
654	0.8473053892	0.3748968722
655	0.8473053892	0.3748057674
656	0.8488023952	0.3747831303
657	0.8473053892	0.3747664024
658	0.8488023952	0.3747291268
659	0.8473053892	0.3747057166
660	0.8458083832	0.3746212468
661	0.8458083832	0.3745923403
662	0.8458083832	0.3745124556
663	0.8458083832	0.374472994
664	0.8458083832	0.3744581111
665	0.8458083832	0.3744208686
666	0.8458083832	0.3744188042
667	0.8458083832	0.3744142621
668	0.8473053892	0.3743913919
669	0.8473053892	0.3742814618
670	0.8473053892	0.3742472634
671	0.8473053892	0.3742253708
672	0.8473053892	0.3741025286
673	0.8473053892	0.374091445
674	0.8473053892	0.3740118878
675	0.8473053892	0.3739950128
676	0.8473053892	0.3738591799
677	0.8473053892	0.3738120091
678	0.8473053892	0.3738027785
679	0.8473053892	0.3737935394
680	0.8473053892	0.3737350372
681	0.8473053892	0.3736833702
682	0.8473053892	0.3736713866
683	0.8473053892	0.3736447623
684	0.8473053892	0.3736025712
685	0.8473053892	0.3735611801
686	0.8473053892	0.3735540975
687	0.8473053892	0.3735163354
688	0.8473053892	0.3734776807
689	0.8473053892	0.3734250895
690	0.8473053892	0.3733704734
691	0.8473053892	0.3733581624
692	0.8473053892	0.373305906
693	0.8473053892	0.3732766755
694	0.8473053892	0.3730792226
695	0.8473053892	0.3730670384
696	0.8473053892	0.3730580206
697	0.8473053892	0.372990137
698	0.8473053892	0.3729780697
699	0.8473053892	0.3729691681
700	0.8473053892	0.3729441485
701	0.8473053892	0.3729408878
702	0.8473053892	0.3729257298
703	0.8473053892	0.372853411
704	0.8473053892	0.3728045988
705	0.8473053892	0.3727769886
706	0.8473053892	0.3727681394
707	0.8473053892	0.3727611022
708	0.8473053892	0.3726902504
709	0.8473053892	0.3726226961
710	0.8473053892	0.372598935
711	0.8473053892	0.3725662036
712	0.8473053892	0.3724626432
713	0.8473053892	0.3724595684
714	0.8473053892	0.3724199797
715	0.8473053892	0.3723237967
716	0.8473053892	0.3723062882
717	0.8473053892	0.3722358076
718	0.8473053892	0.3722048752
719	0.8473053892	0.372094965
720	0.8473053892	0.3720438391
721	0.8473053892	0.3720130898
722	0.8458083832	0.3719551541
723	0.8458083832	0.371905798
724	0.8458083832	0.3718914467
725	0.8458083832	0.3718556597
726	0.8458083832	0.3718344782
727	0.8458083832	0.3718214122
728	0.8458083832	0.3718137615
729	0.8458083832	0.3716994953
